nama_destinasi,lokasi,kategori_utama,jenis_wisata,deskripsi_singkat,aktivitas,harga_tiket,fasilitas,aksesibilitas,rating,keywords,jam_operasional
wisata danau seledan,"tombatu dua bar., tombatu utara, minahasa tenggara, sulawesi utara",danau,danau alami,danau kecil alami di pedalaman minahasa yang cocok untuk camping atau piknik.,"piknik, naik bebek, melihat sunset",0,"dermaga, penyewaan bebek, tempat makan","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.5,"tenang, air luas, keluarga",00.00-23.59
pantai alar pondang,"pondang, amurang tim., minahasa selatan, sulawesi utara",lautan,pantai,"pantai dengan pasir halus dan air laut tenang, cocok untuk berenang bersama keluarga.","snorkeling, berenang, main pasir",10000,"penyewaan peralatan laut, kamar bilas, penyewaan tikar","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.3,"pasir halus, ombak, laut biru, santai",00.00-23.59
air terjun desa tincep (tekaan rangka kengkang),"tincep, sonder, minahasa, sulawesi utara",air terjun,air terjun,air terjun eksotis di hutan desa tincep dengan rute petualangan.,"mandi di kolam bawah, hiking ke titik air, meditasi suara air",15000,"tempat bilas, pos jaga, jalur berbatu berpagar kayu","Sedang - Jalur trekking sedang, kadang hanya bisa dijangkau dengan jalan kaki",4.5,"segar, deras, pemandangan",00.00-23.59
gua susuripen,"paslaten satu, tomohon tim., tomohon, sulawesi utara",pegunungan,goa,"gua alam dengan formasi batu kapur unik, cocok untuk wisata susur gua dan edukasi geologi.","jelajah gua (caving), fotografi stalaktit/stalagmit, edukasi geologi,",0,"pemandu lokal, helm & senter sewa, jalur tangga, papan informasi",Sulit- Akses jalan masih sulit dan jalannya rusak dan curam,4.7,"stalaktit, batu kapur, petualangan, tersembunyi",00.00-23.59
tuama leo's kayak,"lahendong, tomohon sel., tomohon, sulawesi utara",danau,danau alami,destinasi wisata dan olahraga air yang menawarkan pengalaman menyusuri sungai dengan kayak.,"naik perahu, foto-foto, piknik, jalan keliling danau, melihat sunset",15000,"dermaga, penyewaan perahu, area piknik, gazebo","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.7,"tenang, air luas, perahu, keluarga, danau alami",10.00-17.00
pantai coconut beach,"lolak, lolak, bolaang mongondow, sulawesi utara",lautan,pantai,"pantai tropis dengan banyak pohon kelapa, cocok untuk bersantai atau foto-foto.","berenang, bermain pasir, foto-foto",0,"gazebo, toilet, bilas, warung","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.8,"pasir putih, laut, ombak",00.00-23.59
wisata mangrove trans pato'a,"duminanga, bolaang uki, bolaang mongondow selatan, sulawesi utara",lautan,mangrove,hutan mangrove dengan jalur tracking kayu dan edukasi lingkungan pesisir.,"jalan di jembatan kayu, naik perahu keliling mangrove, edukasi lingkungan",0,"jembatan tracking, menara pandang, pusat informasi","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.5,"hutan bakau, konservasi, air payau",08.00-18.00
pulau pontein tumbak,"tumbak, pusomaen, minahasa tenggara, sulawesi utara",lautan,pulau,pulau kecil dengan terumbu karang indah dan air laut yang cocok untuk snorkeling.,"island hopping, snorkeling, berjemur, camping, foto-foto",30000,"dermaga, tempat bilas, toilet, warung/tenda",Sedang - jalan menuju lokasi lumayan jauh,4.8,"pasir putih, laut biru, pulau kecil",07.00-18.00
pulau baling-baling,"tumbak, pusomaen, minahasa tenggara, sulawesi utara",lautan,pulau,pulau tak berpenghuni dengan pantai pasir putih dan spot diving terbaik.,"berjemur, camping, fotografi, melihat matahari terbit/terbenam",30000,"dermaga, penginapan/resort, tempat makan, toilet",Sedang - jalan menuju lokasi lumayan jauh,4.6,"pulau kecil, pasir putih, terumbu karang",08.00-18.00
pantai ranowangko ll,"pantera, ranowangko ii, kombi, minahasa, sulawesi utara",lautan,pantai,pantai tenang dengan pasir hitam dan pemandangan laut lepas yang memukau.,"berenang, bermain pasir, foto-foto",35000,"gazebo, toilet, bilas, warung, parkir","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.3,"pasir hitam, laut, ombak",08.00-18.00
air terjun kandera,"touliang, kakas, minahasa, sulawesi utara",air terjun,air terjun,air terjun alami dengan suasana sejuk dan asri di dataran tinggi minahasa.,"bermain air, mandi, trekking ringan",15000,"gazebo, toilet, warung",Sulit- Akses jalan masih sulit dan lokasi tersembunyi,4.0,"suara air, rindang, hijau, alam tersembunyi",00.00-23.59
air terjun tonsealama,"tonsea lama, tondano utara, minahasa, sulawesi utara",air terjun,air terjun,"air terjun cantik yang tersembunyi di balik hutan lebat, cocok untuk petualangan.","bermain air, trekking ringan, fotografi alam",10000,"warung, tempat ganti baju, tangga/bebatuan","Sedang - Jalur trekking sedang, kadang hanya bisa dijangkau dengan jalan kaki",4.8,"segar, curug, suara air",00.00-23.59
air terjun soguo,"salongo tim., bolaang uki, bolaang mongondow selatan, sulawesi utara",air terjun,air terjun,air terjun alami di daerah terpencil dengan aliran jernih dan lingkungan tropis yang rimbun.,"bermain air, mandi, trekking ringan",0,tidak ada fasilitas khusus,"Sedang - Jalur trekking sedang, kadang hanya bisa dijangkau dengan jalan kaki",4.7,"segar, curug, suara air",00.00-23.59
danau bunong,"togid, tutuyan, bolaang mongondow timur, sulawesi utara",danau,danau alami,"danau kecil yang tenang di pegunungan, ideal untuk retreat atau wisata alam sunyi.","foto-foto, piknik keluarga, jalan santai",5000,"area piknik, gazebo, tempat makan, toilet",Sedang - jalan menuju lokasi lumayan jauh,4.0,"tenang, air luas, keluarga, danau alami",10.00-17.00
pulau libuton molosing,"lolak, bolaang mongondow, sulawesi utara",lautan,pulau,pulau tropis kecil dengan hamparan pasir putih dan laut biru jernih.,"snorkeling, diving, berenang, keliling pulau",20000,"dermaga, penginapan/resort, tempat makan",Sedang - jalan menuju lokasi lumayan jauh,5.0,"pulau kecil, pasir putih, terumbu karang",00.00-23.59
greenleaf rurukan,"rurukan satu, tondano barat, tomohon city, north sulawesi",pegunungan,bukit,wisata kebun dengan pemandangan indah dan kafe bergaya rustic di dataran tinggi tomohon.,"trekking ringan, piknik, selfie spot, melihat matahari terbenam",5000,"gazebo, bangku taman, warung, toilet",Sedang - jalan menuju lokasi lumayan jauh,4.8,"sunset, spot foto, angin sejuk",07.00-18.00
pantai pondok cinta,"motabang, lolak, bolaang mongondow regency, north sulawesi",lautan,pantai,pantai romantis dengan gazebo dan pondok kayu yang cocok untuk pasangan atau prewedding.,"snorkeling, berenang, main pasir",15000,"penyewaan peralatan laut, kamar bilas, penyewaan tikar","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.1,"ombak, laut biru, santai, keluarga",07.00-22.00
air terjun tapahan telu,"tinoor satu, tomohon utara, tomohon, sulawesi utara",air terjun,air terjun,air terjun tiga tingkat dengan pemandangan dramatis di tengah alam liar.,"bermain air, mandi, trekking ringan",5000,"gazebo, toilet, warung, tangga/bebatuan","Sedang - Jalur trekking sedang, kadang hanya bisa dijangkau dengan jalan kaki",4.5,"segar, curug, suara air",00.00-23.59
tanjung woka,"dodap pantai, bolaang mongondow timur, sulawesi utara",lautan,pantai,tanjung eksotik dengan laut jernih dan panorama alam yang memikat di bolaang mongondow timur.,"main pasir, melihat sunset, berenang",0,tidak ada fasilitas khusus,"Mudah - Jalan datar, bisa dijangkau motor/mobil",4.8,"pasir putih, laut, ombak",00.00-23.59
air terjun takaan,"buyungon, amurang, minahasa selatan, sulawesi utara",air terjun,air terjun,"air terjun alami yang masih sangat alami, cocok untuk pelancong pencari ketenangan.","trekking ringan, fotografi alam, relaksasi",10000,"toilet, warung, tempat, tangga/bebatuan","Sedang - Jalur trekking sedang, kadang hanya bisa dijangkau dengan jalan kaki",4.4,"segar, curug, suara air",00.00-23.59
goa jepang kawangkoan,"uner, kawangkoan utara, minahasa, sulawesi utara",pegunungan,goa,situs sejarah peninggalan jepang yang jadi destinasi wisata edukasi dan sejarah.,"edukasi sejarah, jelajah goa, ekspedisi goa",10000,"pemandu lokal, helm & senter sewa, jalur tangga","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.1,"petualangan, tersembunyi, eksplorasi",00.00-23.59
raewaya hills,"airmadidi atas, airmadidi, minahasa utara, sulawesi utara",pegunungan,bukit,"bukit wisata dengan gardu pandang, cocok untuk melihat sunset dan spot foto instagramable.","piknik, selfie spot, melihat matahari terbenam",20000,"bangku taman, parkir, toilet umum",Sedang- Akses jalan menanjak dan terjal,4.3,"sunset, spot foto, angin sejuk",09.00-22.00
cartens hills wawo,"matani dua, tomohon tengah, tomohon, sulawesi utara",pegunungan,bukit,"perbukitan dengan lanskap hijau dan udara segar, sering dijadikan tempat camping.","foto-foto, piknik, jalan santai",15000,"gardu pandang, tempat duduk, parkir, toilet, warung",Sedang - jalan menuju lokasi lumayan jauh,4.5,"spot foto, angin sejuk, lanskap terbuka",13.00-19.00
binuanga tracking mangrove,"binuanga, bolang itang tim., bolaang mongondow utara, sulawesi utara",lautan,mangrove,wisata edukasi dan ekowisata menyusuri hutan mangrove dengan jalan setapak.,"jalan di jembatan kayu, edukasi lingkungan, fotografi alam",0,"pusat informasi, penyewaan perahu, warung lokal",Sedang - jalan menuju lokasi lumayan jauh,4.7,"hutan bakau, konservasi, air payau",00.00-23.59
air terjun binjeita,"binjeita, bolang itang tim., bolaang mongondow utara, sulawesi utara",air terjun,air terjun,"air terjun alami dengan jalur menuju lokasi yang menantang, cocok untuk petualangan alam.","bermain air, trekking ringan, fotografi alam",0,"gazebo, toilet, warung","Sedang - Jalur trekking sedang, kadang hanya bisa dijangkau dengan jalan kaki",5.0,"suara air, rindang, hijau, alam tersembunyi",00.00-23.59
pulau laga,"iyok, nuangan, bolaang mongondow timur, sulawesi utara",lautan,pulau,"pulau kecil yang indah di sekitar likupang, menawarkan keindahan pantai dan kegiatan snorkeling.","keliling pulau, berjemur, camping, fotografi",20000,"dermaga, penginapan/resort, tempat makan",Sedang - jalan menuju lokasi lumayan jauh,4.4,"pulau kecil, pasir putih, terumbu karang",00.00-23.59
pantai binjeita,"binjeita ii, bolang itang, bolaang mongondow utara, sulawesi utara",lautan,pantai,"pantai dengan garis pantai panjang dan air laut jernih, ideal untuk wisata keluarga.","main pasir, melihat sunset, berenang",10000,"penyewaan peralatan laut, kamar bilas, penyewaan tikar","Mudah - Jalan datar, bisa dijangkau motor/mobil",4.5,"pasir putih, ombak, laut biru",00.00-23.59
kentur mahawu,"kakaskasen satu, tomohon utara, tomohon, sulawesi utara",pegunungan,gunung,gunung berapi strato indah yang populer untuk melihat kawah dan danau besar yang dijangkau dengan pendakian.,"pendakian, trekking, eksplorasi kawah",10000,"area parkir, basecamp, pos pendakian","Sedang - Jalur trekking sedang, kadang hanya bisa dijangkau dengan jalan kaki",4.5,"pendakian, kawah, jalur hiking",00.00-23.59
pulau siladen,"bunaken, bunaken kepulauan, manado, sulawesi utara",lautan,pulau,"pulau indah dengan pantai yang tenang, air jernih, terumbu karang warna-warni & pusat menyelam.","keliling pulau, berjemur, camping, fotografi",30000,"dermaga, penginapan/resort, tempat makan",Sedang - jalan menuju lokasi lumayan jauh,4.7,"pulau kecil, pasir putih, terumbu karang",00.00-23.59
